unit name,unit uuid,unit group name,unit group uuid,flow property name,flow property uuid
pt (US fl),2df86f1f-293e-4e07-9cde-34eebc6d2c5f,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
ftm,31ace5ab-d905-46ef-b958-caa2e65d6424,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
gal (US liq),62eb6f51-0574-4489-ae1a-1bd806f6c2ac,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
dr (Fl),72ef94e2-bf0c-4e85-a74c-f3b5ed1bd73e,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
kl,1c3a9695-398d-4b1f-b07e-a8715b610f70,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
km,715ca68e-0ac5-4c4b-b557-fdc36623be88,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
km2a,c8166ae2-b592-4eb9-b365-e384c8b79f3c,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
m2,3ce61faa-5716-41c1-aef6-b5920054acc9,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
m3,1c3a9695-398d-4b1f-b07e-a8715b610f70,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
kt,e720c842-19f5-4a38-8573-78dd13719f5b,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
l*mi,112e9d4a-262d-4dcb-8003-c19204faedfb,Units of volume*length,ff8ed45d-bbfb-4531-8c7b-9b95e52bd41d,Volume*Length,64771383-534c-4051-84ca-e195564d5425
daL,2d895297-8e96-45f1-b256-a6d4ccd4bbc4,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
m3*a,ee5f2241-18af-4444-b457-b275660e5a20,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
Item(s),6dabe201-aaac-4509-92f0-d00c26cb72ab,Units of items,5beb6eed-33a9-47b8-9ede-1dfe8f679159,Number of items,01846770-4cfe-4a25-8ad9-919d8d378345
USD 2000,3f838c0d-bf6c-49f1-a465-d256ab0d13eb,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
lb,0300ec69-ce1a-45f0-bcf0-7b33845dc53e,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
USD 2002,930e411f-542b-4f66-8e83-b04c303a9780,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
Items*km,2abb86b6-e71b-4de5-a766-a20e80e59b6d,Units of items*length,5454b231-270e-45e6-89b2-7f4f3e482245,Items*Length,0ddc622a-bc4a-4cf8-a551-9e112864b77f
(cmol*m2)/kg,691ae73c-3fc1-4157-85d0-2659bdc2380a,Units of mole*area/mass,3dbb60e1-edde-49f7-b28d-f34b4af727b3,Physicochemical Filtration (Transf.),ac95ed26-5038-4862-8b82-94f1412875cd
mL,81696a66-6919-4bbb-a3ab-c79b2900de7d,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
fur,1135c9c8-05e9-4831-9eb2-e1c4759f218d,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
Mtn,9dd23b40-4394-4f9a-9572-5f2ee9643864,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
EEK 2000,0866bd06-77b3-41a2-8157-6d96ffb5666b,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
cu.in,6a7531d3-3b83-4dda-8b18-4e3528491f9e,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
LU,6dabe201-aaac-4509-92f0-d00c26cb72ab,Units of items,5beb6eed-33a9-47b8-9ede-1dfe8f679159,Number of items,01846770-4cfe-4a25-8ad9-919d8d378345
dag,90d59045-3565-4c5a-bb27-ebc365aacbd0,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
kgkm,a40229e6-7275-42e3-a304-23d590044770,Units of mass*length,838aaa21-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
ft2a,efbbab8b-eb92-4e39-bd5f-99951ffda6c3,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
dal,2d895297-8e96-45f1-b256-a6d4ccd4bbc4,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
dam,9428cdb2-e08e-46f9-a9aa-85cc11416b5f,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
km²,b9a011a0-c9bf-459b-b105-2623d1b61ddf,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
ma,f7fe0af2-e764-4984-bb9f-2cbff6cd2f18,Units of length*time,326eb58b-e5b3-4cea-b45a-2398c25109f8,Length*time,b7ffb330-95a8-4815-a78c-47fcdee3b768
EUR 2003,e0c570ff-d195-4646-b15d-b8de687d10a8,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
EUR 2000,a55b7fe7-fa09-47ef-be62-e07b8e6f4351,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
l*day,9942703a-5962-4823-8ea3-7af06af9a21e,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
mg,b872a063-0500-42b7-9e5d-441642d84417,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
mi,4a51d52b-f94f-4168-a38c-c612f14b8a2d,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
MJ,52765a6c-3896-43c2-b2f4-c679acf13efe,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
mBq,e2987dad-3b7e-451e-82df-fe91756e752a,Units of radioactivity,93a60a57-a3c8-16da-a746-0800200c9a66,Radioactivity,93a60a56-a3c8-17da-a746-0800200c9a66
m2a,c7266b67-4ea2-457f-b391-9b94e26e195a,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
day,11074cfd-08a4-449b-adad-18ce24a1b275,Units of time,af638906-3ec7-4314-8de7-f76039f2dd01,Duration,c0447923-0e60-4b3c-97c2-a86dddd9eea5
ml,81696a66-6919-4bbb-a3ab-c79b2900de7d,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
